epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,177.089,0.95184,1.84922,0.87323,1.07586,0.92074,0.83111,0.8769,0.68313,1,0.90198,0.953,0.63815,1.0554,1.71386,0.82801,1.17801,0.0013928,0.0013928,0.0013928
94,178.465,0.88959,1.73282,0.81625,1.05358,0.96504,0.78571,0.88563,0.66678,0.9082,0.85714,0.95549,0.62347,1.07595,1.82727,0.81106,1.16273,0.0013862,0.0013862,0.0013862
95,179.881,0.95308,1.69456,0.80273,1.07843,0.77602,0.99039,0.94806,0.64923,0.77602,0.99039,0.94806,0.60299,1.09647,1.87629,0.83628,1.15234,0.0013796,0.0013796,0.0013796
96,181.533,0.89008,1.79865,0.79223,1.05625,0.89823,0.85714,0.91962,0.59369,0.89823,0.85714,0.92085,0.5739,1.19684,1.96293,0.96652,1.19793,0.001373,0.001373,0.001373
97,183.18,1.00013,1.75228,0.83528,1.0856,0.9019,0.85714,0.95268,0.65316,0.9019,0.85714,0.95268,0.59139,1.17783,2.01501,0.90035,1.21463,0.0013664,0.0013664,0.0013664
98,184.704,0.96894,1.73941,0.8187,1.07145,0.8732,0.98454,0.97625,0.67503,0.8732,0.98454,0.97625,0.60651,1.13487,2.05719,0.77023,1.22748,0.0013598,0.0013598,0.0013598
99,186.291,0.94097,1.62515,0.78581,1.05878,1,0.76451,0.9325,0.68079,0.92382,0.92857,0.98125,0.6326,1.05978,1.93052,0.75542,1.17004,0.0013532,0.0013532,0.0013532
100,188.192,0.90343,1.72851,0.7912,1.04271,0.92552,0.88885,0.954,0.67474,0.92552,0.88885,0.954,0.65613,0.99512,1.72357,0.74035,1.0934,0.0013466,0.0013466,0.0013466
101,189.971,0.92055,1.80463,0.83457,1.05138,0.9225,0.85071,0.93833,0.67878,0.9225,0.85071,0.93833,0.63713,1.01336,1.73301,0.7417,1.09344,0.00134,0.00134,0.00134
102,192.219,0.89781,1.6373,0.74847,1.06724,0.92776,0.91805,0.96261,0.70864,0.92776,0.91805,0.96261,0.66447,1.00648,1.8005,0.66379,1.10383,0.0013334,0.0013334,0.0013334
103,194.236,0.91721,1.76466,0.77049,1.06693,0.99112,0.85714,0.96667,0.68783,0.99112,0.85714,0.96667,0.64835,1.03471,1.80568,0.64339,1.11169,0.0013268,0.0013268,0.0013268
104,196.209,0.96212,1.75334,0.82381,1.08292,0.93223,0.9834,0.98567,0.68538,0.93223,0.9834,0.98567,0.64978,1.08887,1.74865,0.62272,1.11887,0.0013202,0.0013202,0.0013202
105,197.778,0.97783,1.74789,0.86443,1.09893,0.93155,0.97331,0.98567,0.68462,0.93155,0.97331,0.98567,0.62797,1.07789,1.80591,0.62225,1.13859,0.0013136,0.0013136,0.0013136
106,199.243,0.94423,1.70246,0.81319,1.08767,1,0.9189,0.96955,0.6584,1,0.9189,0.96955,0.61882,1.13944,1.87334,0.72232,1.20661,0.001307,0.001307,0.001307
107,200.705,0.917,1.617,0.78997,1.05234,0.92793,0.92029,0.9445,0.65338,0.92793,0.92029,0.9445,0.60591,1.13085,1.94436,0.77791,1.23442,0.0013004,0.0013004,0.0013004
108,202.192,0.86766,1.61506,0.78465,1.05339,0.92615,0.92857,0.93695,0.6104,0.92615,0.92857,0.93695,0.57368,1.15371,1.82653,0.98749,1.2136,0.0012938,0.0012938,0.0012938
109,203.606,0.90544,1.71494,0.78721,1.05483,0.86087,0.92857,0.9206,0.5903,0.86087,0.92857,0.9206,0.57474,1.18256,1.68741,1.07945,1.27043,0.0012872,0.0012872,0.0012872
110,204.977,0.89324,1.57034,0.70601,1.02476,0.91507,0.85714,0.90829,0.58923,0.91507,0.85714,0.90829,0.59395,1.16848,1.58145,1.10498,1.27619,0.0012806,0.0012806,0.0012806
111,206.341,0.87576,1.60205,0.75528,1.0357,0.86393,0.92857,0.9253,0.60493,0.91472,0.92857,0.93079,0.59914,1.20108,1.63635,1.02578,1.28603,0.001274,0.001274,0.001274
112,207.753,0.91884,1.74458,0.75765,1.06358,0.91793,0.92857,0.9513,0.61288,0.91793,0.92857,0.9513,0.57269,1.18003,1.75522,0.94643,1.33267,0.0012674,0.0012674,0.0012674
113,209.179,1.00304,1.62231,0.81775,1.13129,1,0.92764,0.974,0.6267,1,0.92764,0.974,0.59262,1.16391,1.78085,0.90094,1.33864,0.0012608,0.0012608,0.0012608
114,210.65,0.88973,1.60725,0.74539,1.04157,1,0.92666,0.98265,0.62927,1,0.92666,0.98265,0.61746,1.11193,1.68661,0.81653,1.31544,0.0012542,0.0012542,0.0012542
115,212.135,0.94933,1.59965,0.79111,1.06432,0.96248,0.85714,0.937,0.6473,0.92031,0.92857,0.98125,0.63457,1.08822,1.60876,0.80681,1.24585,0.0012476,0.0012476,0.0012476
116,213.602,0.92406,1.61436,0.77209,1.06256,0.98587,0.85714,0.9565,0.68732,0.93325,0.99878,0.99033,0.64619,0.98457,1.70045,0.72703,1.11844,0.001241,0.001241,0.001241
117,215.007,0.85448,1.58629,0.78648,1.05601,0.86658,0.92795,0.94851,0.68998,0.93316,0.99745,0.97167,0.6327,1.00957,1.83246,0.71134,1.11806,0.0012344,0.0012344,0.0012344
118,216.589,0.9177,1.53021,0.75515,1.05934,0.98966,0.85714,0.98125,0.71068,1,0.97239,0.995,0.63629,1.09588,1.7158,0.6963,1.18835,0.0012278,0.0012278,0.0012278
119,217.953,0.92479,1.55838,0.77344,1.07143,0.9285,0.92767,0.98125,0.73032,1,0.92383,0.98625,0.66441,1.04892,1.5188,0.65142,1.19671,0.0012212,0.0012212,0.0012212
120,219.316,0.86813,1.54762,0.7412,1.02384,0.90601,1,0.98567,0.72194,0.9882,0.92857,0.99033,0.68147,0.96288,1.58273,0.63179,1.17225,0.0012146,0.0012146,0.0012146
121,220.885,0.88495,1.55221,0.77099,1.06216,0.92676,1,0.99033,0.71657,0.92676,1,0.99033,0.66997,1.00757,1.66124,0.62799,1.16898,0.001208,0.001208,0.001208
122,222.228,0.91584,1.65632,0.78524,1.05455,0.95352,1,0.995,0.72947,0.95352,1,0.995,0.66371,1.08024,1.77448,0.63074,1.15282,0.0012014,0.0012014,0.0012014
123,223.637,0.85388,1.58521,0.7165,1.01521,0.99215,1,0.995,0.71926,0.99215,1,0.995,0.63431,1.07963,1.90314,0.65239,1.13104,0.0011948,0.0011948,0.0011948
124,225.115,0.85076,1.52711,0.73905,1.01679,0.99805,0.92857,0.97167,0.72801,0.99805,0.92857,0.97167,0.65208,0.9916,1.68889,0.67544,1.09417,0.0011882,0.0011882,0.0011882
125,226.479,0.83462,1.46412,0.71968,1.02707,0.92784,0.92857,0.96455,0.6982,0.92784,0.92857,0.96455,0.67146,0.98182,1.55423,0.67123,1.10945,0.0011816,0.0011816,0.0011816
126,228.002,0.89,1.54182,0.72513,1.05337,0.97721,0.92857,0.97944,0.7104,0.97721,0.92857,0.97944,0.66751,1.01771,1.52139,0.65203,1.12921,0.001175,0.001175,0.001175
127,229.454,0.80246,1.57764,0.70135,1.03673,0.99086,0.92857,0.98265,0.70476,0.99086,0.92857,0.98265,0.65398,1.06294,1.57635,0.65025,1.12956,0.0011684,0.0011684,0.0011684
